Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
คณะวิศวกรรมศาสตร์	คณะวิศวกรรมศาสตร์อยู่ใกล้วงเวียนใหญ่ ระหว่าง Sport Complex และ ตึก Bsc หรือ หอสมุดคุณหญิงหลง \nสามารถเข้าไปดู Website, Facebook เเละตำเเหน่งที่ตั้งในแผนที่ของคณะได้ที่นี่: \n[Website](https://www.eng.psu.ac.th/)\n[Facebook](https://www.facebook.com/ENGINEERINGPSU/?locale=th_TH)\n[แผนที่ตั้งของคณะ](https://maps.app.goo.gl/fj8tU1otMMKHsxx97)	Editorial	system_metadata_qna_edited_manually:true|category:location	[{"clusterHead":"คณะวิศวสะ","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"คณะวิศวสะ","autoSuggestedCount":1,"userSuggestedCount":0}]},{"clusterHead":"คณะวิศวกรรมศาสตร์อยู่ไหน","totalAutoSuggestedCount":0,"totalUserSuggestedCount":1,"alternateQuestionList":[{"question":"คณะวิศวกรรมศาสตร์อยู่ไหน","autoSuggestedCount":0,"userSuggestedCount":1}]},{"clusterHead":"คณะวิทยาการจัดการอยู่ตรงไหน","totalAutoSuggestedCount":2,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"คณะวิทยาการจัดการอยู่ตรงไหน","autoSuggestedCount":2,"userSuggestedCount":0}]}]	False	[]	4
คณะวิศวกรรมศาสตร์ไปทางไหน	คณะวิศวกรรมศาสตร์อยู่ใกล้วงเวียนใหญ่ ระหว่าง Sport Complex และ ตึก Bsc หรือ หอสมุดคุณหญิงหลง \nสามารถเข้าไปดู Website, Facebook เเละตำเเหน่งที่ตั้งในแผนที่ของคณะได้ที่นี่: \n[Website](https://www.eng.psu.ac.th/)\n[Facebook](https://www.facebook.com/ENGINEERINGPSU/?locale=th_TH)\n[แผนที่ตั้งของคณะ](https://maps.app.goo.gl/fj8tU1otMMKHsxx97)	Editorial	system_metadata_qna_edited_manually:true|category:location	[{"clusterHead":"คณะวิศวสะ","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"คณะวิศวสะ","autoSuggestedCount":1,"userSuggestedCount":0}]},{"clusterHead":"คณะวิศวกรรมศาสตร์อยู่ไหน","totalAutoSuggestedCount":0,"totalUserSuggestedCount":1,"alternateQuestionList":[{"question":"คณะวิศวกรรมศาสตร์อยู่ไหน","autoSuggestedCount":0,"userSuggestedCount":1}]},{"clusterHead":"คณะวิทยาการจัดการอยู่ตรงไหน","totalAutoSuggestedCount":2,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"คณะวิทยาการจัดการอยู่ตรงไหน","autoSuggestedCount":2,"userSuggestedCount":0}]}]	False	[]	4
คณะวิศวกรรมอยู่ที่ไหน	คณะวิศวกรรมศาสตร์อยู่ใกล้วงเวียนใหญ่ ระหว่าง Sport Complex และ ตึก Bsc หรือ หอสมุดคุณหญิงหลง \nสามารถเข้าไปดู Website, Facebook เเละตำเเหน่งที่ตั้งในแผนที่ของคณะได้ที่นี่: \n[Website](https://www.eng.psu.ac.th/)\n[Facebook](https://www.facebook.com/ENGINEERINGPSU/?locale=th_TH)\n[แผนที่ตั้งของคณะ](https://maps.app.goo.gl/fj8tU1otMMKHsxx97)	Editorial	system_metadata_qna_edited_manually:true|category:location	[{"clusterHead":"คณะวิศวสะ","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"คณะวิศวสะ","autoSuggestedCount":1,"userSuggestedCount":0}]},{"clusterHead":"คณะวิศวกรรมศาสตร์อยู่ไหน","totalAutoSuggestedCount":0,"totalUserSuggestedCount":1,"alternateQuestionList":[{"question":"คณะวิศวกรรมศาสตร์อยู่ไหน","autoSuggestedCount":0,"userSuggestedCount":1}]},{"clusterHead":"คณะวิทยาการจัดการอยู่ตรงไหน","totalAutoSuggestedCount":2,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"คณะวิทยาการจัดการอยู่ตรงไหน","autoSuggestedCount":2,"userSuggestedCount":0}]}]	False	[]	4
คณะในมหาลัย	มหาวิทยาลัยสงขลานครินทร์มีทั้งหมด 18 คณะ/วิทยาลัย โดยสามารถแบ่งออกเป็น 4 หมวดหลักๆ ดังนี้ครับ:\n[รายละเอียดเพิ่มเติมที่นี่](https://www.psu.ac.th/?page=course&campus=01)	Editorial	system_metadata_qna_edited_manually:true|category:overview	[]	False	[{"DisplayOrder":0,"QnaId":83,"Qna":null,"DisplayText":"วิทยาศาสตร์สุขภาพ"},{"DisplayOrder":1,"QnaId":84,"Qna":null,"DisplayText":"วิทยาศาสตร์และเทคโนโลยี"},{"DisplayOrder":2,"QnaId":85,"Qna":null,"DisplayText":"มนุษยศาสตร์และสังคมศาสตร์"},{"DisplayOrder":3,"QnaId":117,"Qna":null,"DisplayText":"การบริหารและการจัดการ"},{"DisplayOrder":4,"QnaId":86,"Qna":null,"DisplayText":"อื่นๆ"}]	82
ม.อ. มีทั้งหมดกี่คณะ	มหาวิทยาลัยสงขลานครินทร์มีทั้งหมด 18 คณะ/วิทยาลัย โดยสามารถแบ่งออกเป็น 4 หมวดหลักๆ ดังนี้ครับ:\n[รายละเอียดเพิ่มเติมที่นี่](https://www.psu.ac.th/?page=course&campus=01)	Editorial	system_metadata_qna_edited_manually:true|category:overview	[]	False	[{"DisplayOrder":0,"QnaId":83,"Qna":null,"DisplayText":"วิทยาศาสตร์สุขภาพ"},{"DisplayOrder":1,"QnaId":84,"Qna":null,"DisplayText":"วิทยาศาสตร์และเทคโนโลยี"},{"DisplayOrder":2,"QnaId":85,"Qna":null,"DisplayText":"มนุษยศาสตร์และสังคมศาสตร์"},{"DisplayOrder":3,"QnaId":117,"Qna":null,"DisplayText":"การบริหารและการจัดการ"},{"DisplayOrder":4,"QnaId":86,"Qna":null,"DisplayText":"อื่นๆ"}]	82
มีคณะอะไรบ้าง	มหาวิทยาลัยสงขลานครินทร์มีทั้งหมด 18 คณะ/วิทยาลัย โดยสามารถแบ่งออกเป็น 4 หมวดหลักๆ ดังนี้ครับ:\n[รายละเอียดเพิ่มเติมที่นี่](https://www.psu.ac.th/?page=course&campus=01)	Editorial	system_metadata_qna_edited_manually:true|category:overview	[]	False	[{"DisplayOrder":0,"QnaId":83,"Qna":null,"DisplayText":"วิทยาศาสตร์สุขภาพ"},{"DisplayOrder":1,"QnaId":84,"Qna":null,"DisplayText":"วิทยาศาสตร์และเทคโนโลยี"},{"DisplayOrder":2,"QnaId":85,"Qna":null,"DisplayText":"มนุษยศาสตร์และสังคมศาสตร์"},{"DisplayOrder":3,"QnaId":117,"Qna":null,"DisplayText":"การบริหารและการจัดการ"},{"DisplayOrder":4,"QnaId":86,"Qna":null,"DisplayText":"อื่นๆ"}]	82
ม.อ.มีกี่คณะ	มหาวิทยาลัยสงขลานครินทร์มีทั้งหมด 18 คณะ/วิทยาลัย โดยสามารถแบ่งออกเป็น 4 หมวดหลักๆ ดังนี้ครับ:\n[รายละเอียดเพิ่มเติมที่นี่](https://www.psu.ac.th/?page=course&campus=01)	Editorial	system_metadata_qna_edited_manually:true|category:overview	[]	False	[{"DisplayOrder":0,"QnaId":83,"Qna":null,"DisplayText":"วิทยาศาสตร์สุขภาพ"},{"DisplayOrder":1,"QnaId":84,"Qna":null,"DisplayText":"วิทยาศาสตร์และเทคโนโลยี"},{"DisplayOrder":2,"QnaId":85,"Qna":null,"DisplayText":"มนุษยศาสตร์และสังคมศาสตร์"},{"DisplayOrder":3,"QnaId":117,"Qna":null,"DisplayText":"การบริหารและการจัดการ"},{"DisplayOrder":4,"QnaId":86,"Qna":null,"DisplayText":"อื่นๆ"}]	82
วิทยาศาสตร์สุขภาพ	หมวดวิทยาศาสตร์สุขภาพ ประกอบด้วย 7 คณะ ดังนี้:\n- คณะแพทยศาสตร์\n- คณะทันตแพทยศาสตร์\n- คณะพยาบาลศาสตร์\n- คณะเภสัชศาสตร์\n- คณะเทคนิคการแพทย์\n- คณะสัตวแพทยศาสตร์\n- คณะการแพทย์แผนไทย	Editorial	system_metadata_qna_edited_manually:true|category:program	[]	False	[]	83
วิทยาศาสตร์และเทคโนโลยี	หมวดวิทยาศาสตร์และเทคโนโลยี ประกอบด้วย 5 คณะ ดังนี้:\n- คณะวิศวกรรมศาสตร์\n- คณะวิทยาศาสตร์\n- คณะอุตสาหกรรมเกษตร\n- คณะทรัพยากรธรรมชาติ\n- คณะการจัดการสิ่งแวดล้อม	Editorial	system_metadata_qna_edited_manually:true|category:program	[]	False	[]	84
มนุษยศาสตร์และสังคมศาสตร์	หมวดมนุษยศาสตร์และสังคมศาสตร์ ประกอบด้วย 2 คณะ ดังนี้:\n- คณะนิติศาสตร์\n- คณะศิลปศาสตร์	Editorial	system_metadata_qna_edited_manually:true|category:program	[]	False	[]	85
